onset	duration	trial_type	block	audioOnset	audioDuration	audioOnsetIndex	eegOnsetIndex	word
1494.47265625	1.501953125	StartReading	Inert	1276.330491030989	1.5026592558275764	56286792	765170	UTU
1497.755859375	1.501953125	StartSaying	Inert	1279.4847194740291	1.501774911785546	56425895	766851	UTU
1500.9375	1.501953125	StartReading	Inert	1282.554640451729	1.5017522362972886	56561280	768480	UKU
1504.32421875	1.50390625	StartSaying	Inert	1285.6603206744105	1.5016388588560028	56698242	770214	UKU
1507.693359375	1.501953125	StartReading	Inert	1288.80232702928	1.5016161833677455	56836806	771939	AJA
1511.15625	1.501953125	StartSaying	Inert	1292.2742163873152	1.5027726332688622	56989918	773712	AJA
1514.3359375	1.501953125	StartReading	Inert	1295.5034099945335	1.5017068853207742	57132327	775340	OKO
1517.794921875	1.50390625	StartSaying	Inert	1298.9329642159926	1.5016615343442599	57283572	777111	OKO
1521.23828125	1.501953125	StartReading	Inert	1302.24583037488	1.5027726332688622	57429671	778874	UFU
1524.599609375	1.501953125	StartSaying	Inert	1305.4987652183036	1.5015935078794884	57573127	780595	UFU
1528.107421875	1.501953125	StartReading	Inert	1308.6324269934944	1.5014801304382024	57711323	782391	ISI
1531.5078125	1.501953125	StartSaying	Inert	1311.978898225979	1.5016842098325172	57858904	784132	ISI
1538.70703125	1.501953125	StartReading	Overt	1625.7444817952269	1.5016161833677455	71696118	787818	ONO
1541.935546875	1.501953125	StartSaying	Overt	1629.2443527057715	1.502863335221891	71850464	789471	ONO
1545.017578125	1.501953125	StartReading	Overt	1632.3415069448683	1.5021377195976608	71987050	791049	EFE
1548.400390625	1.50390625	StartSaying	Overt	1635.5643967663511	1.5017068853207742	72129181	792781	EFE
1551.513671875	1.501953125	StartReading	Overt	1638.6201682393785	1.5015708323912311	72263942	794375	ITI
1554.685546875	1.501953125	StartSaying	Overt	1641.8063917963495	1.5020016666681177	72404456	795999	ITI
1557.873046875	1.501953125	StartReading	Overt	1645.226898497994	1.5024098254567473	72555302	797631	UKU
1561.23046875	1.50390625	StartSaying	Overt	1648.3739161357682	1.502500527409776	72694087	799350	UKU
1564.62109375	1.501953125	StartReading	Overt	1651.596601877857	1.5014801304382024	72836209	801086	ULU
1567.849609375	1.5	StartSaying	Overt	1654.8297183445438	1.501548156902974	72978791	802739	ULU
1571.328125	1.501953125	StartReading	Overt	1657.853018518387	1.5014121039734307	73112120	804520	AKA
1574.599609375	1.501953125	StartSaying	Overt	1661.2738880278434	1.5024778519215187	73262982	806195	AKA
1578.0078125	1.501953125	StartReading	Overt	1664.3164170157286	1.5027726332688622	73397159	807940	UFU
1581.015625	1.50390625	StartSaying	Overt	1667.436722928336	1.5023417989919756	73534766	809480	UFU
1584.412109375	1.501953125	StartReading	Overt	1670.5852371483352	1.501774911785546	73673617	811219	ARA
1587.767578125	1.501953125	StartSaying	Overt	1673.9152006253687	1.5017068853207742	73820470	812937	ARA
1590.79296875	1.501953125	StartReading	Overt	1677.0002008027595	1.502613904851062	73956520	814486	ERE
1594.068359375	1.501953125	StartSaying	Overt	1680.3327946364307	1.5027272822923479	74103489	816163	ERE
1597.5078125	1.501953125	StartReading	Overt	1683.682145655924	1.5013667529969164	74251197	817924	ISI
1600.890625	1.501953125	StartSaying	Overt	1687.0406348971849	1.5026592558275764	74399308	819656	ISI
1606.33203125	1.50390625	StartReading	Inert	1692.8290974865513	1.5016842098325172	74654582	822442	ATA
1609.34375	1.501953125	StartSaying	Inert	1696.0438241322615	1.502523202898033	74796353	823984	ATA
1612.828125	1.501953125	StartReading	Inert	1699.343719911866	1.5028179842453766	74941880	825768	AFA
1615.962890625	1.501953125	StartSaying	Inert	1702.6634567436952	1.501797587273803	75088282	827373	AFA
1619.287109375	1.501953125	StartReading	Inert	1705.8753036023968	1.5014801304382024	75229926	829075	AMA
1622.6640625	1.501953125	StartSaying	Inert	1709.166718749393	1.5027953087571195	75375079	830804	AMA
1625.845703125	1.501953125	StartReading	Inert	1712.655977531433	1.5016161833677455	75528957	832433	UMU
1629.2578125	1.50390625	StartSaying	Inert	1715.767235924226	1.5015708323912311	75666165	834180	UMU
1632.572265625	1.501953125	StartReading	Inert	1719.014025710332	1.5024325009450044	75809350	835877	OTO
1635.728515625	1.5	StartSaying	Inert	1722.1641272145093	1.5024551764332617	75948271	837493	OTO
1638.796875	1.501953125	StartReading	Inert	1725.323979178637	1.5026592558275764	76087622	839064	OFO
1641.90234375	1.501953125	StartSaying	Inert	1728.7088626882294	1.5018202627620603	76236897	840654	OFO
1645.044921875	1.501953125	StartReading	Inert	1732.1414554251148	1.5027499577806052	76388276	842263	OSO
1648.515625	1.50390625	StartSaying	Inert	1735.4553419809738	1.502840659733634	76534420	844040	OSO
1651.74609375	1.501953125	StartReading	Inert	1738.971131084275	1.501774911785546	76689468	845694	ALA
1655.17578125	1.501953125	StartSaying	Inert	1742.1959029712832	1.5027499577806052	76831682	847450	ALA
1658.48828125	1.50390625	StartReading	Inert	1745.6953883985273	1.5016615343442599	76986011	849146	ELE
1661.7421875	1.501953125	StartSaying	Inert	1748.8060345531371	1.5026592558275764	77123192	850812	ELE
1664.875	1.501953125	StartReading	Inert	1752.2095119631003	1.5026365803393191	77273287	852416	ENE
1668.22265625	1.501953125	StartSaying	Inert	1755.6052343560796	1.5017522362972886	77423040	854130	ENE
1981.99609375	1.501953125	StartReading	Overt	1760.8469228971003	1.5016161833677455	77654201	1014782	ISI
1985.494140625	1.505859375	StartSaying	Overt	1763.8671845555168	1.501774911785546	77787396	1016573	ISI
1988.59375	1.5	StartReading	Overt	1767.0613672088662	1.5029086861984056	77928261	1018160	ORO
1991.81640625	1.501953125	StartSaying	Overt	1770.1532380591989	1.5022737725272042	78064614	1019810	ORO
1994.87109375	1.501953125	StartReading	Overt	1773.5040856609173	1.5017295608090315	78212388	1021374	EFE
1998.056640625	1.50390625	StartSaying	Overt	1776.7946618148478	1.5016388588560028	78357504	1023005	EFE
2001.478515625	1.501953125	StartReading	Overt	1780.2690454765914	1.502863335221891	78510726	1024757	ILI
2004.625	1.50390625	StartSaying	Overt	1783.6761282891873	1.5017295608090315	78660980	1026368	ILI
2007.849609375	1.5	StartReading	Overt	1786.7011064491614	1.5017522362972886	78794383	1028019	EKE
2011.08203125	1.5	StartSaying	Overt	1790.1130418162445	1.5027499577806052	78944851	1029674	EKE
2014.10546875	1.501953125	StartReading	Overt	1793.44336810109	1.5027953087571195	79091720	1031222	ANA
2017.525390625	1.501953125	StartSaying	Overt	1796.494150966701	1.5015028059264597	79226261	1032973	ANA
2020.568359375	1.50390625	StartReading	Overt	1799.5880172600005	1.5015935078794884	79362702	1034531	OPO
2023.689453125	1.501953125	StartSaying	Overt	1802.6855796578857	1.5024551764332617	79499306	1036129	OPO
2026.837890625	1.5	StartReading	Overt	1806.0135250164642	1.5027953087571195	79646070	1037741	IRI
2030.166015625	1.50390625	StartSaying	Overt	1809.1062121843743	1.5027726332688622	79782459	1039445	IRI
2033.251953125	1.501953125	StartReading	Overt	1812.219397993669	1.5027726332688622	79919752	1041025	OJO
2036.5859375	1.501953125	StartSaying	Overt	1815.5543274026306	1.5017068853207742	80066824	1042732	OJO
2039.935546875	1.5	StartReading	Overt	1818.8927941877605	1.501774911785546	80214052	1044447	OFO
2043.29296875	1.501953125	StartSaying	Overt	1821.9804247217892	1.501797587273803	80350218	1046166	OFO
2049.08203125	1.5	StartReading	Inert	1828.271126700564	1.5027953087571195	80627641	1049130	ETE
2052.296875	1.501953125	StartSaying	Inert	1831.4438583420222	1.5027726332688622	80767560	1050776	ETE
2055.595703125	1.50390625	StartReading	Inert	1834.6796958672999	1.5018656137385746	80910262	1052465	IMI
2058.916015625	1.501953125	StartSaying	Inert	1837.8695475023922	1.5017522362972886	81050936	1054165	IMI
2062.12890625	1.501953125	StartReading	Inert	1841.0748638204757	1.5027953087571195	81192292	1055810	OTO
2065.419921875	1.501953125	StartSaying	Inert	1844.1184358808207	1.5027272822923479	81326515	1057495	OTO
2068.908203125	1.501953125	StartReading	Inert	1847.4935916059505	1.5019336402033463	81475361	1059281	IJI
